time [s]	P_1 [mW]	E_1 [J]	P_2 [mW]	E_2 [J]	P_3 [mW]	E_3 [J]	P_4 [mW]	E_4 [J]	P_5 [mW]	E_5 [J]	P_6 [mW]	E_6 [J]
234.8345	1.9746	0.0956	1.9101	0.0927	1.9316	0.0935	1.4859	0.0743	1.5301	0.0748	1.6142	0.0791
234.8677	2.0083	0.0956	1.8809	0.0927	1.9621	0.0935	1.5708	0.0744	1.5562	0.0748	1.5961	0.0791
234.9009	1.9678	0.0957	1.8741	0.0928	1.8956	0.0936	1.5146	0.0744	1.5398	0.0749	1.6330	0.0792
234.9337	1.9782	0.0958	1.9095	0.0929	1.8859	0.0936	1.5259	0.0745	1.5261	0.0749	1.6506	0.0793
234.9669	1.9644	0.0958	1.9167	0.0930	1.9213	0.0937	1.5626	0.0745	1.5856	0.0750	1.6218	0.0793
235.0001	1.9763	0.0959	1.9178	0.0930	1.9509	0.0938	1.5416	0.0746	1.5449	0.0751	1.6501	0.0794
235.0333	1.9629	0.0960	1.9315	0.0931	1.9273	0.0938	1.5187	0.0746	1.4940	0.0751	1.6551	0.0794
235.0665	1.9488	0.0960	1.9546	0.0931	1.9138	0.0939	1.5199	0.0746	1.5493	0.0752	1.6114	0.0795
235.0992	1.9672	0.0961	1.9140	0.0932	1.9287	0.0940	1.5660	0.0747	1.5507	0.0752	1.5890	0.0795
235.1325	1.9820	0.0961	1.9018	0.0933	1.9201	0.0940	1.5295	0.0747	1.5290	0.0752	1.6527	0.0796
235.1657	1.9447	0.0962	1.8800	0.0933	1.9808	0.0941	1.5367	0.0748	1.5523	0.0753	1.6362	0.0796
235.1989	1.9738	0.0963	1.9155	0.0934	1.9267	0.0941	1.5679	0.0748	1.5860	0.0754	1.6307	0.0797
235.2317	1.9964	0.0964	1.8930	0.0935	1.8780	0.0942	1.5220	0.0749	1.5235	0.0754	1.6297	0.0797
235.2649	1.9804	0.0964	1.9366	0.0935	1.9646	0.0943	1.5174	0.0750	1.5323	0.0755	1.6701	0.0798
235.2982	1.9751	0.0965	1.9085	0.0936	1.9805	0.0943	1.5380	0.0750	1.5441	0.0755	1.6120	0.0798
235.3314	1.9690	0.0965	1.9003	0.0936	1.9263	0.0944	1.5443	0.0751	1.5380	0.0756	1.5728	0.0799
235.3642	1.9611	0.0966	1.9210	0.0937	1.9100	0.0945	1.5213	0.0751	1.5492	0.0756	1.6019	0.0799
235.3974	1.9620	0.0967	1.8918	0.0938	1.8990	0.0945	1.5431	0.0752	1.5650	0.0757	1.6485	0.0800
235.4307	1.9486	0.0967	1.9129	0.0938	1.9369	0.0946	1.4783	0.0752	1.5610	0.0757	1.6019	0.0801
235.4639	1.9760	0.0968	1.9017	0.0939	1.9339	0.0947	1.5097	0.0752	1.5179	0.0758	1.6214	0.0801
235.4967	1.9839	0.0969	1.8922	0.0940	1.8932	0.0947	1.5299	0.0753	1.5097	0.0758	1.6437	0.0802
235.5299	1.9723	0.0969	1.9148	0.0940	1.8553	0.0948	1.5657	0.0754	1.5365	0.0759	1.6454	0.0802
235.5631	1.9770	0.0970	1.8972	0.0941	1.9070	0.0949	1.5442	0.0754	1.5419	0.0759	1.5775	0.0803
235.5964	1.9912	0.0971	1.9065	0.0941	1.9325	0.0949	1.5538	0.0755	1.5417	0.0760	1.6225	0.0803
235.6296	1.9641	0.0971	1.9131	0.0942	1.9394	0.0950	1.5544	0.0755	1.5843	0.0760	1.6644	0.0804
235.6623	1.9544	0.0972	1.9037	0.0943	1.9010	0.0950	1.4896	0.0756	1.5295	0.0761	1.5989	0.0804
235.6955	1.9497	0.0973	1.9263	0.0943	1.9181	0.0951	1.5053	0.0756	1.5047	0.0761	1.6285	0.0805
235.7288	1.9701	0.0973	1.8959	0.0944	1.9229	0.0952	1.5370	0.0757	1.5292	0.0761	1.6195	0.0805
235.7621	1.9775	0.0974	1.9124	0.0945	1.9440	0.0952	1.5260	0.0757	1.5409	0.0762	1.6329	0.0806
235.7948	1.9434	0.0975	1.9008	0.0945	1.9074	0.0953	1.5356	0.0758	1.5171	0.0763	1.5725	0.0806
235.8280	1.9941	0.0975	1.8834	0.0946	1.8889	0.0954	1.5669	0.0758	1.5656	0.0763	1.6034	0.0807
235.8612	1.9585	0.0976	1.8778	0.0946	1.9241	0.0954	1.4913	0.0759	1.5564	0.0764	1.6276	0.0807
235.8944	1.9622	0.0976	1.9088	0.0947	1.9680	0.0955	1.5034	0.0759	1.5041	0.0764	1.6387	0.0808
235.9277	1.9801	0.0977	1.8990	0.0948	1.9304	0.0955	1.5403	0.0760	1.5301	0.0765	1.6274	0.0809
235.9604	1.9637	0.0978	1.9131	0.0948	1.9086	0.0956	1.5124	0.0760	1.5713	0.0765	1.6422	0.0809
235.9936	1.9603	0.0978	1.9297	0.0949	1.9009	0.0957	1.5091	0.0761	1.5473	0.0766	1.6435	0.0810
236.0268	1.9410	0.0979	1.8859	0.0950	1.9353	0.0957	1.5590	0.0761	1.5281	0.0766	1.5684	0.0810
236.0601	1.9385	0.0980	1.9070	0.0950	1.9771	0.0958	1.5274	0.0761	1.5699	0.0767	1.6176	0.0811
